run_id,stress,q0,w0_scale,n0,w0,z0,T,classification,basin_label,tail_mean_w,tail_mean_q,q_change,previous_window_mean_w,latest_window_mean_w,relative_change_between_last_windows,rhs_norm,state_norm,normalized_residual,physical,min_n,min_w,min_q,max_q,min_z,q_clip_count,q_clip_max_violation,notes
s0p16486816_q0p0_wscale0p5,0.16486816,0.0,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,1600.0,declining_transient,transient_basin,0.7068473583867808,0.18604818618864896,0.18604414481330878,1.1653066166301724,0.7068473583867808,-0.3934237150125876,5.537162537978721e-05,4.88052920560076,1.1345414205542356e-05,True,3.558337936274904,0.32082152600157193,0.0,0.19645100291184497,0.8920500029794618,0,0.0,window_change_indicates_transient
s0p16486816_q0p0_wscale1,0.16486816,0.0,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,1600.0,declining_transient,transient_basin,0.6969249697243337,0.1879450520035412,0.187941010628201,1.1530263790024589,0.6969249697243337,-0.39556892850337166,4.074095965484069e-05,4.879967973645075,8.348612096404677e-06,True,3.55833779229348,0.637699419999442,0.0,0.19645117875322493,1.1872525784968062,0,0.0,window_change_indicates_transient
s0p16486816_q0p0_wscale1p5,0.16486816,0.0,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,1600.0,declining_transient,transient_basin,0.6936408782266731,0.18855212155915316,0.18854808018381297,1.1484700925051996,0.6936408782266731,-0.39603052551972945,3.5867269555654084e-05,4.879809850932268,7.350136716659521e-06,True,3.5583372311546175,0.6376991717023931,0.0,0.19645124101673025,0.8706612467787385,0,0.0,window_change_indicates_transient
s0p16486816_q0p1_wscale0p02,0.16486816,0.1,0.02,4.8333333333389445,0.012833333333268906,1.8204999999944536,1600.0,declining_transient,transient_basin,0.6410346629646876,0.1955856190095164,0.0955856190095164,0.8158405216171621,0.6410346629646876,-0.21426474172424498,5.031049354508367e-07,4.87968978547053,1.0310182769176261e-07,True,3.5742508193755227,0.01169281776828071,0.0028087345803901494,0.19643484761816518,0.5686224086624247,0,0.0,window_change_indicates_transient
s0p16486816_q0p1_wscale0p05,0.16486816,0.1,0.05,4.8333333333389445,0.032083333333172266,1.8012499999945502,1600.0,persistent_steady,persistent_basin,0.6416644033305159,0.195542729855882,0.095542729855882,0.6408561219748682,0.6416644033305159,0.001261252452667367,2.7952304936398213e-09,4.879660356504423,5.728330025908204e-10,True,3.649480856484832,0.03208215260015719,0.01682691786437962,0.1964348484712017,0.5966848116802669,0,0.0,steady_by_tail_change_and_rhs_residual
s0p16486816_q0p1_wscale0p1,0.16486816,0.1,0.1,4.8333333333389445,0.06416666666634453,1.769166666661378,1600.0,persistent_steady,persistent_basin,0.64166672478123,0.19554266465198056,0.09554266465198055,0.6417052019189213,0.64166672478123,-5.99607694877329e-05,1.4303982812032405e-10,4.879660246968407,2.931348103778139e-11,True,3.794406043912889,0.06416430520031438,0.04341726225315826,0.19643484552097848,0.6368720990078427,0,0.0,steady_by_tail_change_and_rhs_residual
s0p16486816_q0p1_wscale0p2,0.16486816,0.1,0.2,4.8333333333389445,0.12833333333268906,1.7049999999950334,1600.0,persistent_steady,persistent_basin,0.6416666494407528,0.19554266156453912,0.09554266156453911,0.6416617604103452,0.6416666494407528,7.619326425969699e-06,1.5463910393551012e-11,4.879660250682961,3.16905472904321e-12,True,3.9617581588167647,0.12832861040062876,0.07245807877767226,0.19643484970012828,0.7036598296351045,0,0.0,steady_by_tail_change_and_rhs_residual
s0p16486816_q0p1_wscale0p5,0.16486816,0.1,0.5,4.8333333333389445,0.32083333333172265,1.5124999999959998,1600.0,persistent_steady,persistent_basin,0.6416666667153907,0.19554266011174862,0.09554266011174861,0.6416653822830616,0.6416666667153907,2.0017167274829634e-06,5.338737092569708e-12,4.879660249897648,1.094079673412035e-12,True,4.099668712440825,0.32082152600157193,0.09495649122460367,0.19643486090922677,0.8978452958395156,0,0.0,steady_by_tail_change_and_rhs_residual
s0p16486816_q0p1_wscale1,0.16486816,0.1,1.0,4.8333333333389445,0.6416666666634453,1.1916666666642772,1600.0,persistent_steady,persistent_basin,0.6416666683711219,0.1955426601902454,0.0955426601902454,0.6416663672679385,0.6416666683711219,4.692519333195436e-07,1.7312896684736114e-12,4.87966024981569,3.547971743604494e-13,True,4.131606743037706,0.6377621048975041,0.09995974477421088,0.19643486746129502,1.1880086635883538,0,0.0,steady_by_tail_change_and_rhs_residual
s0p16486816_q0p1_wscale1p5,0.16486816,0.1,1.5,4.8333333333389445,0.962499999995168,0.8708333333325544,1600.0,persistent_steady,persistent_basin,0.6416666685646003,0.19554266023792227,0.09554266023792227,0.6416665951532968,0.6416666685646003,1.1440723895414712e-07,8.448716228771009e-13,4.879660249804926,1.7314148519067004e-13,True,4.108948237968356,0.6377620935373055,0.09995974477421088,0.19643487129938217,0.8706612467787385,0,0.0,steady_by_tail_change_and_rhs_residual
