case_label,stress,baseline_state,perturbation_type,seed,time,var_n,var_w,var_q,cv_n,cv_w,cv_q,min_n,min_w,min_q,max_q,min_z
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1430.0,2.2220875828054526e-22,5.849712640455837e-23,8.255720941816271e-27,3.084138258389616e-12,1.1919493114531545e-11,4.646607428474952e-13,4.833333333275304,0.6416666666669415,0.19554266055800296,0.195542660558414,1.1916666666669555
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1435.0,1.6457051342536763e-22,4.3274169268715573e-23,7.68027532776394e-27,2.65417322967359e-12,1.0251912495162463e-11,4.481742234837218e-13,4.833333333284011,0.6416666666666224,0.19554266055814343,0.19554266055848027,1.1916666666666529
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1440.0,1.1854799660562806e-22,3.113061340399251e-23,1.9542429214267968e-26,2.2526844543083147e-12,8.695295787531995e-12,7.149040441906599e-13,4.8333333332921065,0.6416666666663428,0.19554266055814173,0.1955426605586417,1.1916666666663862
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1445.0,8.262927228068122e-23,2.166349287355476e-23,3.8177545242179344e-26,1.8807029962084444e-12,7.253619348574595e-12,9.992231341579131e-13,4.833333333299576,0.6416666666661008,0.19554266055813677,0.19554266055887592,1.1916666666661566
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1450.0,5.531694053564743e-23,1.447373736831305e-23,5.937122201496259e-26,1.5388005348178313e-12,5.928992006554603e-12,1.2460815739088835e-12,4.833333333306414,0.6416666666658946,0.1955426605581291,0.19554266055906763,1.1916666666659603
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1455.0,3.517955385192366e-23,9.180650581493329e-24,8.012779507766568e-26,1.2271521601268492e-12,4.722013779024962e-12,1.4476050056437666e-12,4.833333333312624,0.641666666665722,0.195542660558119,0.1955426605592168,1.1916666666657956
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1460.0,2.0890476381700593e-23,5.432188697121286e-24,9.846505358996988e-26,9.456434620735932e-13,3.6322685020458194e-12,1.6047210180813586e-12,4.833333333318217,0.6416666666655809,0.1955426605581071,0.1955426605593275,1.1916666666656603
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1465.0,1.1255899719395442e-23,2.9115232309613666e-24,1.1318617261134978e-25,6.941340681139341e-13,2.659197848437971e-12,1.7205019427119652e-12,4.8333333333232105,0.6416666666653881,0.1955426605580936,0.19554266055940378,1.191666666665495
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1470.0,5.226015415393066e-24,1.3404908934977911e-24,1.2374478199251345e-25,4.729754463339354e-13,1.8043569421734477e-12,1.7989617424182712e-12,4.833333333327625,0.6416666666649584,0.19554266055807884,0.19554266055944952,1.191666666665107
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1475.0,1.8994152633605334e-24,4.805056586600431e-25,1.300371430617001e-25,2.851433281270914e-13,1.0802885527405623e-12,1.8441327892164153e-12,4.833333333331487,0.6416666666645314,0.19554266055806344,0.1955426605594685,1.1916666666647
compensation_branch_state_local_predator_patch_s0.164868_seed20260702,0.16486816,compensation_branch_state,local_predator_patch,20260702,1480.0,5.206673371450621e-25,1.3187222361239194e-25,1.3229654146985397e-25,1.492909286459607e-13,5.65935823560335e-13,1.8600847215301116e-12,4.833333333334829,0.6416666666641858,0.19554266055804678,0.1955426605594643,1.1916666666643687
