run_id,scan,axis,mu,D_w_over_D_u,stress,T,n_x,n_y,dt,seed,time,mean_w,var_u,var_v,var_w,pattern_strength,dominant_wavelength,dominant_power,min_z
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,36.0,4.2657741515540303e-05,1.685268493122297e-15,1.6796309923289559e-15,7.23903591736464e-24,1.685268493122297e-15,8.944271909999157,8.910209964876427e-10,1.1975172948118908
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,37.0,3.231722669856013e-05,1.3293259651107941e-15,1.325320138081943e-15,3.948272483249074e-24,1.3293259651107941e-15,20.0,7.153542632950418e-10,1.1974975506911791
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,38.0,2.4483575998328548e-05,1.0493041129800514e-15,1.046455861025196e-15,2.1539790608015303e-24,1.0493041129800514e-15,20.0,5.777060203418327e-10,1.1974823166791775
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,39.0,1.854896172659998e-05,8.28825404778412e-16,8.267989805276281e-16,1.1753489907593938e-24,8.28825404778412e-16,20.0,4.665564615953203e-10,1.1974705518444884
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,40.0,1.4052962378624436e-05,6.550915037435741e-16,6.536489421202962e-16,6.414591148970366e-25,6.550915037435741e-16,20.0,3.7680207889281326e-10,1.1974614576824718
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,41.0,1.0646804629997004e-05,5.180892817879638e-16,5.170617892551071e-16,3.5013536598482105e-25,5.180892817879638e-16,20.0,3.04322556586261e-10,1.1974544212116758
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,42.0,8.066283139847253e-06,4.0997599616730577e-16,4.0924376049112117e-16,1.9114275043604235e-25,4.0997599616730577e-16,20.0,2.457913791526849e-10,1.1974489715180825
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,43.0,6.11125091182843e-06,3.2460242857024946e-16,3.2408034328656125e-16,1.0435809310408195e-25,3.2460242857024946e-16,20.0,1.9852288927787717e-10,1.1974447465498779
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,44.0,4.630085160711722e-06,2.5714242916427517e-16,2.5677000164305535e-16,5.698149401563232e-26,2.5714242916427517e-16,20.0,1.6034878444598602e-10,1.197441467729929
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,45.0,3.5079211441533515e-06,2.0380471356763978e-16,2.0353892267431577e-16,3.11153711728744e-26,2.0380471356763978e-16,20.0,1.295184261576962e-10,1.1974389205337281
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,46.0,2.657739672537251e-06,1.616083304567409e-16,1.6141855883891466e-16,1.6992003937333296e-26,1.616083304567409e-16,20.0,1.0461835436684724e-10,1.197436939621932
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,47.0,2.0136159763883985e-06,1.2820750298591011e-16,1.2807195170821308e-16,9.279796759479289e-27,1.2820750298591011e-16,20.0,8.450730909688573e-11,1.1974353974521579
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,48.0,1.525605646398317e-06,1.0175483055812224e-16,1.0165796773439883e-16,5.068191667690046e-27,1.0175483055812224e-16,20.0,6.826378047216028e-11,1.197434195550115
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,49.0,1.1558705853801422e-06,8.079430274945314e-17,8.072506001478261e-17,2.7681224800779113e-27,8.079430274945314e-17,20.0,5.5143669873313065e-11,1.1974332578145233
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,50.0,8.75744246351854e-07,6.417756802276184e-17,6.412805075002787e-17,1.5119337045637553e-27,6.417756802276184e-17,20.0,4.454612000626975e-11,1.197432525378318
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,51.0,6.635083823610656e-07,5.09983022730695e-17,5.096287814799646e-17,8.2583489495808e-28,5.09983022730695e-17,20.0,3.598592123863446e-11,1.1974319526615316
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,52.0,5.027087813453252e-07,4.0540738925761443e-17,4.05153880819436e-17,4.510918012714272e-28,4.0540738925761443e-17,20.0,2.9071235294870894e-11,1.1974315043371853
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,53.0,3.808793020048532e-07,3.223925440168166e-17,3.222110633259443e-17,2.46403190274429e-28,3.223925440168166e-17,20.0,2.3485626230936057e-11,1.1974311529971984
long_027,longtime,baseline_longtime,0.85,100.0,0.675,120.0,64,64,0.01,20260610,54.0,2.885752184087045e-07,2.5646608966506215e-17,2.5633612917574947e-17,1.3459722464155194e-28,2.5646608966506215e-17,20.0,1.897353512080161e-11,1.197430877355339
