shape_label,stress,baseline_state,perturbation_type,seed,T,time,var_n,var_w,var_q,cv_n,cv_w,cv_q
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,400.0,2.6430255045630017e-06,7.002924235741292e-07,2.313606371176506e-08,0.00033632945285405624,0.0013046210941111205,0.0007099665976331601
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,440.0,1.2790599817027046e-06,3.437273563027207e-07,1.1578737678253608e-08,0.0002339537421612308,0.0009142512646318216,0.0005023461877937179
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,480.0,8.064530964412208e-07,2.1534503305229175e-07,2.2831670236105342e-09,0.0001857798397177852,0.0007234855645897455,0.00022310802375506857
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,520.0,1.8532567315695754e-07,4.9226759905631183e-08,1.399481729321209e-10,8.906454517313611e-05,0.00034582297003011187,5.524169275844675e-05
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,560.0,1.325689482111047e-08,3.4936241308416267e-09,4.53979121934841e-11,2.3821746312341436e-05,9.211505239301937e-05,3.1463733592256264e-05
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,600.0,2.1519524029984335e-09,5.811299406812991e-10,4.0507487534605706e-11,9.59784386314866e-06,3.756739974509372e-05,2.972054415002727e-05
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,640.0,2.6631420907546348e-09,7.127769794304532e-10,1.1672504045981429e-11,1.0677113786427711e-05,4.160580534960002e-05,1.5953869095409437e-05
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,680.0,9.159277301825554e-10,2.4378218937603145e-10,1.142724063895976e-12,6.261602258280389e-06,2.4332415229687067e-05,4.991734780911243e-06
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,720.0,1.1128388744934845e-10,2.941864265339309e-11,6.055726029280959e-14,2.1825777881657868e-06,8.452799162618019e-06,1.1491131406289774e-06
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,760.0,3.136645870243016e-12,8.355121207395018e-13,1.2119166834190026e-13,3.664256027380383e-07,1.4245169780317602e-06,1.6256088238419972e-06
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,800.0,7.113484291201185e-12,1.9111671632337522e-12,5.530244577370387e-14,5.518158838957565e-07,2.1544717656821803e-06,1.0981259155495315e-06
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,840.0,4.07064885431842e-12,1.0859329365805355e-12,9.068459011492789e-15,4.1743122215000926e-07,1.6240245141743817e-06,4.4467935681987593e-07
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,880.0,8.086227128881009e-13,2.1449321330163496e-13,2.9115737141836733e-16,1.860485002779229e-07,7.217677609977925e-07,7.967906545071117e-08
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,920.0,3.7922276852586375e-14,9.935265874927726e-15,2.6306386996887e-16,4.029029593754942e-08,1.5533891122538796e-07,7.5737499274132e-08
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,960.0,1.2387463593716263e-14,3.3522719571292776e-15,2.2444156175083405e-16,2.302737658060277e-08,9.023189605297736e-08,6.995713021816325e-08
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1000.0,1.518321716740924e-14,4.061440746919651e-15,5.864487506497302e-17,2.54938347221348e-08,9.931858805710784e-08,3.5759822908673606e-08
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1040.0,4.790335582446967e-15,1.2741810557630525e-15,4.625875781999802e-18,1.4319776074564709e-08,5.5629617457522e-08,1.00433199834368e-08
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1080.0,5.015542631384901e-16,1.3236111725188963e-16,2.9404406352163756e-19,4.633532529902876e-09,1.7929605339985643e-08,2.532133045750508e-09
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1120.0,1.0502245954059619e-17,2.8397728921631397e-18,7.311073522354142e-19,6.704931482189629e-10,2.626227402630089e-09,3.9927386985193095e-09
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1160.0,4.3887449046184495e-17,1.1784829842598716e-17,3.0951525823236313e-19,1.370640059617738e-09,5.349980293307702e-09,2.5978935175618256e-09
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1200.0,2.327815030469476e-17,6.207315088235998e-18,4.61023484051398e-20,9.982228019957866e-10,3.8827767301759895e-09,1.0026326422088295e-09
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1240.0,4.274814918275969e-18,1.1331527123076628e-18,9.454246193508832e-22,4.277715629458118e-10,1.6589555232527648e-09,1.4357994063206437e-10
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1280.0,1.519889386040362e-19,3.9652026358383786e-20,1.6971140544226965e-21,8.066019054083294e-11,3.103296087521673e-10,1.9236932929511224e-10
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1320.0,8.212404444253133e-20,2.2212018478406966e-20,1.3362623080481114e-21,5.929095112644164e-11,2.322654079463025e-10,1.706971126035212e-10
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1360.0,9.194113849104183e-20,2.458394224566634e-20,3.271890890978869e-22,6.273475281509799e-11,2.443522172766713e-10,8.446557093980098e-11
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1400.0,2.727925694883224e-20,7.253063094008278e-21,2.2331616534600266e-23,3.417193100020967e-11,1.3272454601467169e-10,2.20668527254059e-11
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1440.0,2.57234778852724e-21,6.780681190663951e-22,1.9955490957286164e-24,1.0493445119346794e-11,4.0581414775956974e-11,6.596468974509848e-12
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1480.0,6.13498279335454e-23,1.6772327493240265e-23,4.5818895783955424e-24,1.6205406408295696e-12,6.382446568973171e-12,9.995456304312849e-12
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1520.0,2.8039100040724966e-22,7.525182798598343e-23,1.8221746269925997e-24,3.46445789513541e-12,1.3519139453600998e-11,6.3034064695263695e-12
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1560.0,1.3907412373678641e-22,3.7073070253459986e-23,2.516425972889487e-25,2.4399246724524928e-12,9.48898582706576e-12,2.342461141148151e-12
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1600.0,2.393722259306109e-23,6.341775319011574e-24,3.664531635239635e-27,1.012255468540193e-12,3.924604943938669e-12,2.8267640097029054e-13
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1640.0,6.700528746312365e-25,1.741748187234707e-25,1.1333756148134658e-26,1.6935880859417974e-13,6.504040014398419e-13,4.971268816207547e-13
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1680.0,5.624416260406332e-25,1.5194779166288457e-25,8.094421938048754e-27,1.5516436200367082e-13,6.074880191090761e-13,4.2011988235128195e-13
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1720.0,5.612371005347928e-25,1.5000250936052596e-25,1.8612368990461156e-27,1.5499812288098236e-13,6.035868688476872e-13,2.0145643416724122e-13
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1760.0,1.5700081952364204e-25,4.1725163412052014e-26,1.1107914046213887e-28,8.197930122774133e-14,3.183387773827377e-13,4.921489590708124e-14
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1800.0,1.3669483454770756e-26,3.603805432318867e-27,1.0382365210304434e-29,2.4189634388659555e-14,9.355590165198634e-14,1.5046256682406434e-14
linear_reference,0.1584375,compensation_branch_state,local_defense_patch,20260702,3200.0,1840.0,1.649327885774341e-28,4.5249393024168915e-29,2.6403224173198135e-29,2.6570929885061927e-15,1.048327310217349e-14,2.3994339372446766e-14
