r_v,a_v,b_u,b_v,b_v_over_b_u,stress,branch_exists,A1,A2,A3,A1A2_minus_A3,routh_hurwitz_stable,max_real_eigenvalue,rh_matches_eigenvalue,condition_class
0.65,0.25,0.08,0.02,0.25,0.1584375,True,5.016972853535353,0.047388994502268744,0.002725138926866318,0.23502416004735205,True,-0.0046773530343636426,True,branch_stable
0.65,0.25,0.08,0.02,0.25,0.16486816,True,5.05634927870707,0.03404538698844384,0.002540796833119808,0.16960457110920124,True,-0.0033212056240866407,True,branch_stable
0.65,0.25,0.08,0.04,0.5,0.1584375,True,4.817490530303029,0.07797340543613096,0.002338221142578125,0.3732979211614615,True,-0.008069228419699901,True,branch_stable
0.65,0.25,0.08,0.04,0.5,0.16486816,True,4.875054680727271,0.062682106603555,0.002221216839026067,0.3033574803564806,True,-0.00639880588152656,True,branch_stable
0.65,0.25,0.08,0.06,0.75,0.1584375,True,4.2190435606060595,0.16972663823771228,0.0011774677897135395,0.7149066123304206,True,-0.008904071566333974,True,branch_stable
0.65,0.25,0.08,0.06,0.75,0.16486816,True,4.33117088678788,0.14859226544888138,0.0012624768567448446,0.6423160172573067,True,-0.015259689913603682,True,branch_stable
0.65,0.25,0.1,0.025,0.25,0.1584375,True,4.615710227272727,0.11047572531644256,0.004881132385253909,0.5050428028232226,True,-0.011913711486168696,True,branch_stable
0.65,0.25,0.1,0.025,0.25,0.16486816,True,4.647811562343434,0.10018768369601183,0.004839997934968506,0.460813476751762,True,-0.01071479949569766,True,branch_stable
0.65,0.25,0.1,0.05,0.5,0.1584375,True,4.21559659090909,0.17119662555875514,0.0029353844604492188,0.7187605266201791,True,-0.020419569347878943,True,branch_stable
0.65,0.25,0.1,0.05,0.5,0.16486816,True,4.262248106181818,0.16048867556626512,0.0030331916220888225,0.6810093618738529,True,-0.018910333457405178,True,branch_stable
0.65,0.25,0.1,0.07500000000000001,0.75,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
0.65,0.25,0.1,0.07500000000000001,0.75,0.16486816,False,nan,nan,nan,nan,False,nan,False,no_branch
0.65,0.3,0.06,0.015,0.25,0.1584375,False,nan,nan,nan,nan,False,nan,False,no_branch
