D_n,D_w,D_q,D_w_over_D_n,D_q_over_D_n,stress,q_star,zero_mode_growth,max_nonzero_mode_growth,most_unstable_m,most_unstable_n,most_unstable_lambda,positive_modes_count,near_zero_modes_count,nonzero_modes_stable,stability_class
0.01,0.01,0.005,1.0,0.5,0.175,0.16622458001768367,-0.012681581449417077,-0.012866633712765614,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.01,0.01,1.0,1.0,0.11765625,0.3321577847439918,-0.023581704072263975,-0.02382844418229122,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.01,0.01,1.0,1.0,0.1584375,0.21415079173699889,-0.015893894916853914,-0.016140635026881206,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.01,0.01,1.0,1.0,0.16486816,0.19554266055783315,-0.01465247062034078,-0.01489921073036808,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.01,0.01,1.0,1.0,0.175,0.16622458001768367,-0.012681581449417077,-0.012928321559444282,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.01,0.02,1.0,2.0,0.11765625,0.3321577847439918,-0.023581704072263975,-0.023951824366030276,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.01,0.02,1.0,2.0,0.1584375,0.21415079173699889,-0.015893894916853914,-0.01626401215745482,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.01,0.02,1.0,2.0,0.16486816,0.19554266055783315,-0.01465247062034078,-0.015022587315018092,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.01,0.02,1.0,2.0,0.175,0.16622458001768367,-0.012681581449417077,-0.013051697253229909,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.03,0.0005,3.0,0.05,0.11765625,0.3321577847439918,-0.023581704072263975,-0.0067792717076676145,11,11,5.9711106626590595,0,0,True,linearly_spatially_stable
0.01,0.03,0.0005,3.0,0.05,0.1584375,0.21415079173699889,-0.015893894916853914,-0.00590512054732768,7,13,5.3789343985936995,0,0,True,linearly_spatially_stable
0.01,0.03,0.0005,3.0,0.05,0.16486816,0.19554266055783315,-0.01465247062034078,-0.0057096690981368785,4,14,5.230890332577359,0,0,True,linearly_spatially_stable
0.01,0.03,0.0005,3.0,0.05,0.175,0.16622458001768367,-0.012681581449417077,-0.0053606390883508374,2,14,4.934802200544679,0,0,True,linearly_spatially_stable
0.01,0.03,0.001,3.0,0.1,0.11765625,0.3321577847439918,-0.023581704072263975,-0.009210209615902416,6,11,3.873819727427572,0,0,True,linearly_spatially_stable
0.01,0.03,0.001,3.0,0.1,0.1584375,0.21415079173699889,-0.015893894916853914,-0.008126390664487523,5,11,3.602405606397615,0,0,True,linearly_spatially_stable
