case_label,stress,q0,w0_scale,time,mean_n,mean_w,mean_q,var_n,var_w,var_q,min_n,min_w,min_q,max_q,min_z
persistent_case,0.1584375,0.1,0.1,1535.0,4.833333332540795,0.6416666670733374,0.21415079175791968,7.971809225807647e-30,2.057558228289489e-30,1.318961085351446e-32,4.833333332540789,0.6416666670733342,0.21415079175791943,0.21415079175792,1.191666667052531
persistent_case,0.1584375,0.1,0.1,1540.0,4.833333332699697,0.641666666991379,0.2141507917628069,7.295615222333288e-30,1.776902087143659e-30,7.210388308395846e-33,4.833333332699692,0.6416666669913759,0.21415079176280674,0.21415079176280716,1.1916666669755873
persistent_case,0.1584375,0.1,0.1,1545.0,4.833333332843554,0.6416666669172082,0.21415079176663795,5.902204907569123e-30,1.4663188002213744e-30,7.820704975342777e-33,4.83333333284355,0.6416666669172054,0.21415079176663776,0.21415079176663818,1.1916666669059015
persistent_case,0.1584375,0.1,0.1,1550.0,4.833333332972691,0.6416666668506532,0.21415079176951796,4.5941132893413124e-30,1.2449391716451379e-30,4.9267319231663714e-33,4.833333332972686,0.6416666668506509,0.21415079176951782,0.21415079176951815,1.1916666668433198
persistent_case,0.1584375,0.1,0.1,1555.0,4.8333333330875785,0.6416666667914668,0.21415079177154872,4.500513094044093e-30,1.1500931404151427e-30,3.4078051428078444e-33,4.833333333087573,0.6416666667914642,0.2141507917715486,0.2141507917715488,1.1916666667876197
persistent_case,0.1584375,0.1,0.1,1560.0,4.833333333188804,0.6416666667393413,0.21415079177282856,3.785607898687551e-30,9.141035276514061e-31,3.2772782500925376e-33,4.8333333331888015,0.6416666667393391,0.21415079177282845,0.2141507917728286,1.1916666667385187
persistent_case,0.1584375,0.1,0.1,1565.0,4.833333333277053,0.6416666666939224,0.21415079177345092,2.7858576645561367e-30,6.223161132801256e-31,2.9310246341143246e-33,4.833333333277049,0.6416666666939207,0.2141507917734509,0.21415079177345103,1.1916666666956908
persistent_case,0.1584375,0.1,0.1,1570.0,4.833333333353071,0.6416666666548196,0.2141507917735044,1.9713818910747746e-30,4.677752815707404e-31,1.2264637858739419e-33,4.833333333353069,0.6416666666548181,0.21415079177350432,0.21415079177350446,1.191666666658774
persistent_case,0.1584375,0.1,0.1,1575.0,4.833333333417663,0.6416666666216175,0.21415079177307178,2.508908938553252e-30,3.2203354229477446e-31,1.6020577408486792e-33,4.833333333417659,0.6416666666216164,0.21415079177307175,0.21415079177307186,1.1916666666273863
persistent_case,0.1584375,0.1,0.1,1580.0,4.833333333471657,0.6416666665938835,0.21415079177223018,2.0921376985878543e-30,2.987117343744603e-31,1.6080762719248893e-33,4.833333333471656,0.6416666665938826,0.21415079177223015,0.21415079177223026,1.1916666666011242
persistent_case,0.1584375,0.1,0.1,1585.0,4.83333333351591,0.6416666665711777,0.21415079177105067,1.1755876380539688e-30,2.9601543245231815e-31,1.3242649158623562e-33,4.833333333515907,0.6416666665711768,0.21415079177105065,0.21415079177105076,1.1916666665795792
persistent_case,0.1584375,0.1,0.1,1590.0,4.833333333551266,0.6416666665530583,0.2141507917695984,5.118929199186834e-30,2.7088204667806472e-31,3.801078532818949e-34,4.833333333551266,0.6416666665530575,0.21415079176959834,0.21415079176959845,1.1916666665623397
persistent_case,0.1584375,0.1,0.1,1595.0,4.833333333578578,0.6416666665390895,0.21415079176793228,1.7173517314100982e-30,2.1482243896870563e-31,7.956874240942031e-33,4.833333333578575,0.6416666665390885,0.2141507917679323,0.21415079176793242,1.1916666665489997
persistent_case,0.1584375,0.1,0.1,1600.0,4.8333333335986595,0.6416666665288451,0.21415079176610596,7.769201395658109e-31,1.7445916030610252e-31,8.995823167972802e-34,4.833333333598658,0.6416666665288441,0.21415079176610588,0.214150791766106,1.1916666665391618
extinct_case,0.16486816,0.9,0.02,0.0,4.8333333333389445,0.012833333333268904,0.9,2.28218232991005e-09,1.655177093535274e-14,1.0171530379113635e-10,4.833170805379261,0.012832861040062876,0.8999597447742109,0.900033558171273,1.8203265053068325
extinct_case,0.16486816,0.9,0.02,5.0,5.855644526143287,0.00645676591766255,0.8931352848656833,3.642251350365251e-12,1.3020377971048672e-15,2.484966721693289e-11,5.85563809909752,0.00645661399329665,0.8931130709380827,0.8931523667716793,0.8045567557613034
extinct_case,0.16486816,0.9,0.02,10.0,5.863861418966462,0.0031786253864134824,0.8863301190293916,1.8033831494111625e-12,4.2030468278393223e-16,1.2031727530186276e-11,5.863856699614959,0.0031785457598766348,0.8863156544441201,0.8863423146716337,0.7996209717663344
extinct_case,0.16486816,0.9,0.02,15.0,5.8694175039419205,0.0015798995422122916,0.8791503502454737,1.2461117937131834e-12,1.447488474614728e-16,8.205856664722481e-12,5.869413321814559,0.001579848760981822,0.8791397784820043,0.8791610861834865,0.7956651234889974
extinct_case,0.16486816,0.9,0.02,20.0,5.873750195873201,0.0007924858948947743,0.8715981917321601,9.980525492094811e-13,4.869616743284088e-17,6.546634472944231e-12,5.873746220799573,0.0007924546213748272,0.8715898474928028,0.8716083594564601,0.7921207212776967
extinct_case,0.16486816,0.9,0.02,25.0,5.87754731642757,0.00040115607587223726,0.8636719253841725,8.592141564047806e-13,1.6015158025778193e-17,5.654378378417974e-12,5.87754343038006,0.0004011375589622952,0.8636646799093199,0.8636818825272214,0.7887153653893219
extinct_case,0.16486816,0.9,0.02,30.0,5.881141433319204,0.0002049597086765955,0.8553684829525952,7.703204452550449e-13,5.197051731013893e-18,5.1124355253592874e-12,5.881137606112685,0.00020494903141844421,0.8553619871517938,0.8553783317666053,0.7853177522176394
extinct_case,0.16486816,0.9,0.02,35.0,5.884694160932619,0.00010572325709235061,0.8466848036527916,7.084431759758513e-13,1.677280930915186e-18,4.7588854875852464e-12,5.884690397447875,0.0001057171538996785,0.846678874655548,0.8466945504067586,0.7818644970208861
extinct_case,0.16486816,0.9,0.02,40.0,5.88828379133016,5.5074566278170577e-05,0.8376185825702522,6.628190087316128e-13,5.415521087676093e-19,4.51787751570759e-12,5.888280095849435,5.507107810757248e-05,0.8376130814064561,0.8376282261461051,0.7783256954949538
extinct_case,0.16486816,0.9,0.02,45.0,5.891947457502497,2.898335222869319e-05,0.8281687079038478,6.276436920978122e-13,1.7569881826917314e-19,4.348884031481717e-12,5.891943832794871,2.8981363940652e-05,0.8281633953704874,0.828178247025145,0.7746882071251159
